project,wait_days,method,n_tree_bst,theta_imb_bst,theta_cl_bst,gmean_bst,r1_bst,r0_bst,cl_rsme_bst,initial_pf,drop_pf,stable_pf
vscode,15,oob,5,0.95,-1,0.43401,0.20316,0.96263,1.989,0.05311,0.32484,0.43991
wp-calypso,15,oob,5,0.95,-1,0.57517,0.39382,0.86624,1.894,0.30815,0.43996,0.58923
brackets,15,oob_aio,20,0.9,-1,0.60605,0.41325,0.89615,1.896,0.55199,0.66253,0.60555
broadleaf,15,oob_aio,30,0.95,-1,0.64325,0.50644,0.8214,1.896,0.61042,0.62073,0.64968
camel,15,oob_aio,10,0.99,-1,0.67213,0.59197,0.76765,1.896,0.70107,0.64266,0.67136
corefx,15,oob_aio,30,0.95,-1,0.62321,0.4466,0.87459,1.909,0.64261,0.68041,0.61452
django,15,oob_aio,30,0.95,-1,0.64047,0.48665,0.84864,1.908,0.49206,0.63291,0.64267
fabric,15,oob_aio,10,0.95,-1,0.64115,0.50082,0.82377,1.896,0.58826,0.65823,0.63963
jgroups,15,oob_aio,5,0.95,-1,0.52455,0.32425,0.8943,1.896,0.08736,0.58811,0.54366
nova,15,oob_aio,20,0.99,-1,0.67797,0.59864,0.77082,1.896,0.61512,0.65844,0.68728
rails,15,oob_aio,15,0.999,-1,0.65894,0.55324,0.79051,1.908,0.229,0.61234,0.66269
rust,15,oob_aio,10,0.95,-1,0.64146,0.4768,0.86785,1.909,0.59401,0.49125,0.6418
tensorflow,15,oob_aio,10,0.95,-1,0.63857,0.47279,0.86745,1.91,0.56319,0.61369,0.63886
tomcat,15,oob_aio,15,0.99,-1,0.65813,0.56128,0.7755,1.896,0.69224,0.62941,0.65908
vscode,15,oob_aio,5,0.95,-1,0.61841,0.44024,0.87258,1.909,0.70656,0.57849,0.62032
wp-calypso,15,oob_aio,5,0.95,-1,0.5999,0.42227,0.85785,1.909,0.51075,0.60195,0.60376
brackets,15,oob_filtering,20,0.9,-1,0.57087,0.43493,0.82505,1.902,0.17367,0.45262,0.57438
broadleaf,15,oob_filtering,30,0.95,-1,0.57933,0.41472,0.83056,1.92,0.16418,0.54778,0.59651
camel,15,oob_filtering,10,0.99,-1,0.6617,0.58789,0.75716,1.921,0.56095,0.49447,0.66571
corefx,15,oob_filtering,30,0.95,-1,0.47281,0.24606,0.94047,1.96,0.27788,0.38729,0.48696
django,15,oob_filtering,30,0.95,-1,0.57021,0.3855,0.90306,1.834,0.22755,0.38942,0.60873
fabric,15,oob_filtering,10,0.95,-1,0.60929,0.4643,0.8277,1.915,0.32511,0.46254,0.63126
jgroups,15,oob_filtering,5,0.95,-1,0.43317,0.22627,0.89484,1.915,0.08333,0.35206,0.44908
nova,15,oob_filtering,20,0.99,-1,0.46728,0.31681,0.84931,1.817,0.24048,0.27978,0.55513
rails,15,oob_filtering,15,0.999,-1,0.55329,0.36612,0.86473,1.883,0.09854,0.42755,0.56262
rust,15,oob_filtering,10,0.95,-1,0.28237,0.10411,0.97178,1.985,0.0378,0.14255,0.28275
tensorflow,15,oob_filtering,10,0.95,-1,0.61596,0.43905,0.87193,1.897,0.44031,0.57592,0.61661
tomcat,15,oob_filtering,15,0.99,-1,0.58203,0.43388,0.80897,1.887,0.14288,0.51324,0.59079
vscode,15,oob_filtering,5,0.95,-1,0.41005,0.18191,0.96553,1.987,0.03953,0.2851,0.41673
wp-calypso,15,oob_filtering,5,0.95,-1,0.56858,0.37699,0.88193,1.904,0.31359,0.45525,0.58167
brackets,15,pbsa,20,0.99,0,0.63106,0.57946,0.72202,1.889,0.20416,nan,0.63315
broadleaf,15,pbsa,20,0.99,0,0.54524,0.37987,0.83233,1.914,0.264,0.42912,0.55999
camel,15,pbsa,20,0.99,0,0.6611,0.58796,0.75858,1.92,0.56553,0.47803,0.66519
corefx,15,pbsa,20,0.99,0,0.58084,0.38333,0.88928,1.963,0.37603,nan,0.58301
django,15,pbsa,20,0.99,0,0.56006,0.37611,0.89383,1.802,0.40912,0.39819,0.59835
fabric,15,pbsa,20,0.99,0,0.64393,0.55165,0.77614,1.912,0.54166,nan,0.6921
jgroups,15,pbsa,20,0.99,0,0.52636,0.37167,0.80114,1.915,0.20386,0.40751,0.54707
nova,15,pbsa,20,0.99,0,0.48488,0.34194,0.84342,1.804,0.23962,0.25941,0.58858
rails,15,pbsa,20,0.99,0,0.55568,0.36282,0.87429,1.875,0.24466,0.41692,0.5612
rust,15,pbsa,20,0.99,0,0.38028,0.17921,0.95184,1.99,0.09932,0.19186,0.38089
tensorflow,15,pbsa,20,0.99,0,0.66298,0.54138,0.81766,1.893,0.57315,nan,0.66454
tomcat,15,pbsa,20,0.99,0,0.55151,0.38589,0.82294,1.867,0.38426,0.41815,0.56401
vscode,15,pbsa,20,0.99,0,0.6025,0.39332,0.92949,1.989,0.37575,nan,0.60541
wp-calypso,15,pbsa,20,0.99,0,0.6338,0.49949,0.8246,1.894,0.47975,nan,0.65594
brackets,15,pbsa_aio,20,0.99,0,0.68574,0.61623,0.76567,1.896,0.66662,nan,0.68585
broadleaf,15,pbsa_aio,20,0.99,0,0.67032,0.62197,0.72517,1.896,0.59156,0.6761,0.67351
camel,15,pbsa_aio,20,0.99,0,0.68571,0.62771,0.75171,1.896,0.71144,0.6581,0.68505
corefx,15,pbsa_aio,20,0.99,0,0.69184,0.62605,0.7666,1.909,0.69155,nan,0.69184
django,15,pbsa_aio,20,0.99,0,0.67481,0.5944,0.77004,1.908,0.57882,0.69422,0.67291
fabric,15,pbsa_aio,20,0.99,0,0.68725,0.63189,0.74955,1.896,0.67944,nan,0.69094
jgroups,15,pbsa_aio,20,0.99,0,0.57045,0.3966,0.86468,1.896,0.20473,0.65573,0.59265
nova,15,pbsa_aio,20,0.99,0,0.68198,0.61915,0.75322,1.896,0.63011,0.66717,0.68894
rails,15,pbsa_aio,20,0.99,0,0.66521,0.56439,0.78874,1.908,0.46143,0.63056,0.6668
rust,15,pbsa_aio,20,0.99,0,0.7022,0.62668,0.78879,1.909,0.64521,0.50123,0.70277
tensorflow,15,pbsa_aio,20,0.99,0,0.71328,0.66374,0.76901,1.91,0.65289,nan,0.71431
tomcat,15,pbsa_aio,20,0.99,0,0.66561,0.58575,0.76018,1.896,0.65288,0.66287,0.66642
vscode,15,pbsa_aio,20,0.99,0,0.70694,0.62684,0.79909,1.909,0.67268,nan,0.70738
wp-calypso,15,pbsa_aio,20,0.99,0,0.6846,0.60741,0.77407,1.909,0.61731,nan,0.69441
brackets,15,pbsa_filtering,20,0.99,0,0.61916,0.52997,0.76693,1.902,0.20474,nan,0.6212
broadleaf,15,pbsa_filtering,20,0.99,0,0.60039,0.48251,0.7715,1.92,0.2642,0.59099,0.614
camel,15,pbsa_filtering,20,0.99,0,0.67072,0.61038,0.75136,1.921,0.56153,0.45791,0.67541
corefx,15,pbsa_filtering,20,0.99,0,0.55324,0.34639,0.89861,1.96,0.37763,nan,0.5551
django,15,pbsa_filtering,20,0.99,0,0.60294,0.4428,0.87786,1.834,0.40945,0.40481,0.65001
fabric,15,pbsa_filtering,20,0.99,0,0.64473,0.56465,0.76238,1.915,0.53192,nan,0.69788
jgroups,15,pbsa_filtering,20,0.99,0,0.52391,0.35713,0.822,1.915,0.20494,0.45921,0.54409
nova,15,pbsa_filtering,20,0.99,0,0.46586,0.31895,0.8471,1.817,0.24388,0.26896,0.55647
rails,15,pbsa_filtering,20,0.99,0,0.57487,0.39406,0.85858,1.883,0.24466,0.45375,0.57979
rust,15,pbsa_filtering,20,0.99,0,0.37989,0.17475,0.94511,1.985,0.09932,0.19114,0.38051
tensorflow,15,pbsa_filtering,20,0.99,0,0.67078,0.54942,0.8234,1.897,0.5837,nan,0.6723
tomcat,15,pbsa_filtering,20,0.99,0,0.58457,0.43942,0.80814,1.887,0.37398,0.51378,0.59837
vscode,15,pbsa_filtering,20,0.99,0,0.56947,0.35299,0.92674,1.987,0.35972,nan,0.57217
wp-calypso,15,pbsa_filtering,20,0.99,0,0.63449,0.4926,0.83588,1.904,0.48269,nan,0.65631
